iter	RMSE
0	0.9837929186
1	0.9683192273
2	0.9547428607
3	0.9416931851
4	0.930684951
5	0.9218388342
6	0.9136120771
7	0.906052282
8	0.8998521875
9	0.8941289978
10	0.889640611
11	0.8856368031
12	0.8820696482
13	0.8786998183
14	0.875633769
15	0.8730245051
16	0.8706095731
17	0.8683097151
18	0.8665524415
19	0.8649990033
20	0.8632818348
21	0.8620073242
22	0.8607321808
23	0.8598794615
24	0.8586049151
25	0.8575266332
26	0.8565098946
27	0.8556905873
28	0.8544494562
29	0.8533501043
30	0.8524659076
31	0.8514464088
32	0.8508571303
33	0.8500889078
34	0.8492572156
35	0.8484245568
36	0.8478589473
37	0.8473205015
38	0.8467608781
39	0.8463264743
40	0.8455953752
41	0.8451697259
42	0.8443066289
43	0.8435360771
44	0.842982467
45	0.8422295731
46	0.8416009101
47	0.8410329118
48	0.8405845923
49	0.8401466004
50	0.839798863
51	0.8394302563
52	0.8388830137
53	0.8383097594
54	0.8380208533
55	0.8375815419
56	0.837030847
57	0.8364735334
58	0.8360143774
59	0.835414782
60	0.835047232
61	0.8346642355
62	0.8343786954
63	0.8337751712
64	0.8335634657
65	0.833233125
66	0.8329745021
67	0.8326650458
68	0.8323437351
69	0.8319416095
70	0.8315584741
71	0.8310662154
72	0.8308292971
73	0.8304294139
74	0.8302074423
75	0.8297808966
76	0.8293635259
77	0.8291458043
78	0.8288011748
79	0.8284050456
80	0.8280248476
81	0.8273012414
82	0.8269979332
83	0.8266981058
84	0.8262500516
85	0.8258437749
86	0.8253543466
87	0.8251382035
88	0.8246984535
89	0.8243464595
90	0.8239235666
91	0.8235841516
92	0.8233006848
93	0.8228743055
94	0.8225834843
95	0.8222909308
96	0.8219782965
97	0.8216401776
98	0.8213629585
99	0.821058149
